Device,Trip,Time,TargetId,ObstacleId,Range,Rangerate,Transversal,TargetType,Status,CIPV,AccelPedal,Altitude,AvailableLeft,AvailableRight,Ax,Ay,BoundaryLeft,BoundaryRight,Brake,CruiseEngaged,Distance,GpsHeading,Latitude,Longitude,NumTargets,Speed,TurnSignal,YawRate
10139,6109,1670,1,3,12.2125,-0.2285465,3.5375,3,0,0,0,225.172,0,0,0.2875,-0.6825,2,2,0,1,16.58997,276.1307,42.2961335139898,-83.7062571602101,3,3.695747,0,-0.24
10139,6109,1680,1,3,12.07292,-0.8839273,3.5625,3,0,0,0,225.172,0,0,0.20625,-1.0525,2,2,0,1,16.97283,276.1804,42.2961337639904,-83.7062618102237,3,3.851997,0,-1.085
10139,6109,1690,1,3,12.03571,-0.3989573,3.607143,3,0,0,0,225.371,0,0,-1.11625,-0.29375,2,2,0,1,17.36762,276.2095,42.2961340027981,-83.7062664686138,3,3.964844,0,-2.565
10139,6109,1700,1,3,12.01563,-0.3898811,3.671875,3,0,0,0,225.371,0,0,-0.72125,-0.82,2,2,0,1,17.7737,275.8908,42.2961340527982,-83.7062712686285,2,4.077691,0,-3.065
10139,6109,1710,1,3,12.04167,-0.573164,3.743056,3,0,0,0,225.594,0,0,-0.19375,-0.08875,2,2,0,1,18.1859,275.5695,42.2961341251839,-83.7062760798188,2,4.129775,0,-3.03
10139,6109,1720,1,3,11.875,-0.6284723,3.840278,3,0,0,0,225.594,0,0,-1.5,0.14875,2,2,0,1,18.60256,275.2036,42.2961345751837,-83.7062810798205,1,4.173177,1,-2.48
10139,6109,1730,1,3,11.81944,-0.4494057,3.9375,3,0,0,0,225.75,0,0,-0.005,-0.02875,2,2,0,1,19.02449,274.8598,42.2961350139917,-83.7062860714369,1,4.227431,1,-2.695
10139,6109,1740,1,3,11.8125,0.1954355,3.992188,3,0,0,0,225.75,0,0,-0.0475,0.5725,2,2,0,1,19.45018,274.8894,42.2961352639918,-83.7062909214374,1,4.262153,1,-2.635
10139,6109,1750,1,3,11.84821,0.6569433,4.0625,3,0,0,0,225.942,0,0,-0.59625,0.25,2,2,0,1,19.88083,274.8888,42.2961354972016,-83.7062957854431,1,4.314236,1,-2.22
10139,6109,1760,1,3,11.95833,1.133928,4.145833,3,0,0,0,225.942,0,0,-0.665,0.20375,2,2,0,1,20.31372,274.378,42.2961354472016,-83.7063008854455,1,4.331597,1,-2.57
10139,6109,1770,1,3,12.075,0.3700391,4.2375,3,0,0,0,226.091,0,0,-0.74,0.36625,2,2,0,1,20.74541,273.8719,42.2961354167906,-83.7063059798479,1,4.314236,1,-1.99
10139,6109,2660,1,7,13.55,0.6378961,3.1625,3,0,0,0,232.241,0,0,0.1575,1.265,2,2,1,1,37.9655,249.2012,42.2961298191694,-83.7065012593034,1,1.924913,1,-9.41
