Event,Device,Trip,Starttime,Endtime,Duration,Pedestrians,Stoptime
1,10120,285,127100,127340,240,2,0
2,10122,52,194220,194340,120,1,0
3,10122,58,71770,71840,70,1,0
4,10122,102,145540,145720,180,1,0
5,10122,102,146670,146820,150,1,0
6,10122,155,144230,144510,280,1,0
7,10122,206,197380,197910,530,1,0
8,10122,209,227230,227880,650,1,0
9,10122,224,181420,181530,110,1,0
10,10122,255,170670,170750,80,1,0
11,10122,257,167190,167480,290,1,0
12,10122,276,145960,146000,40,1,0
13,10122,278,201010,201220,210,2,0
14,10122,285,133950,134010,60,1,0
15,10122,286,11760,11970,210,2,0
16,10122,291,478570,478680,110,2,0
17,10122,305,158560,159590,1030,2,0
18,10122,312,140590,140690,100,2,0
19,10122,318,5350,5510,160,1,0
20,10122,331,89870,89980,110,2,0
21,10122,334,179990,180100,110,1,0
22,10122,337,220580,220600,20,4,0
23,10122,340,2630,3180,550,3,0
24,10122,348,1060,1880,820,1,0
25,10122,351,152680,152720,40,1,0
26,10122,352,3660,3720,60,2,0
27,10122,355,400,610,210,2,0
28,10122,357,135420,135580,160,2,0
29,10122,387,6960,7310,350,2,0
30,10122,403,156780,157080,300,1,0
31,10122,404,8430,8470,40,1,0
32,10122,409,134730,134910,180,2,0
33,10122,425,154250,154450,200,2,0
34,10122,426,4490,5370,880,1,0
35,10122,428,1920,2050,130,1,0
36,10122,430,181210,181230,20,2,0
37,10122,432,172770,172840,70,1,0
38,10122,433,3780,3870,90,1,0
39,10122,446,194820,194950,130,2,0
40,10122,448,165600,165800,200,2,0
41,10122,453,154650,154750,100,1,0
42,10122,456,81170,81330,160,2,0
43,10122,459,146550,146660,110,1,0
44,10122,468,7240,7550,310,1,0
45,10122,471,29770,29890,120,2,0
46,10122,479,9050,9060,10,1,0
47,10122,489,164720,165130,410,3,0
48,10122,490,4620,5160,540,2,0
49,10122,499,142280,142310,30,1,0
50,10122,518,159540,159690,150,1,0
51,10122,518,160510,160640,130,1,0
52,10122,530,210760,211380,620,1,0
53,10122,548,161310,161410,100,2,0
54,10122,551,4390,4500,110,3,0
55,10122,556,5130,5340,210,1,0
56,10122,565,146540,146880,340,2,0
57,10122,576,3030,3210,180,1,0
58,10122,577,150480,150930,450,2,0
59,10122,601,168490,168810,320,1,0
60,10122,607,159880,160110,230,2,0
61,10122,612,162780,162930,150,3,0
62,10122,622,157350,157740,390,3,0
63,10122,623,3030,3570,540,2,0
64,10122,633,163880,164650,770,2,0
65,10122,648,158520,158800,280,1,0
66,10122,652,156730,156860,130,1,0
67,10122,656,3690,3740,50,1,0
68,10122,659,162250,162450,200,2,0
69,10122,662,155100,155260,160,1,0
70,10122,680,4390,5280,890,3,0
71,10122,688,141010,141010,0,2,0
72,10122,694,143850,144290,440,3,0
73,10122,699,2640,2810,170,1,0
74,10122,724,1490,1890,400,1,0
75,10122,744,17040,17950,910,1,180
76,10122,746,145470,146150,680,1,0
77,10122,755,144430,144520,90,1,0
78,10122,757,152830,153510,680,2,0
79,10122,761,2410,2820,410,1,0
80,10122,765,3360,4460,1100,1,0
81,10122,770,127230,127580,350,2,0
82,10122,803,139150,140080,930,1,0
83,10122,809,1980,2060,80,2,0
84,10122,819,249240,249360,120,2,0
85,10122,819,258500,258880,380,2,0
86,10122,821,158090,158810,720,2,0
87,10122,827,173260,174170,910,2,0
88,10122,829,195100,195190,90,1,0
89,10122,846,6350,6420,70,2,0
90,10122,859,152660,153110,450,1,0
91,10122,859,153660,153940,280,1,0
92,10122,862,5300,5460,160,2,0
93,10122,865,160400,160690,290,1,0
94,10122,871,53060,53810,750,1,0
95,10122,872,2310,2370,60,2,0
96,10122,887,158120,158370,250,1,0
97,10122,888,2900,3040,140,1,0
98,10122,895,4860,5010,150,1,0
99,10122,898,3700,4270,570,1,0
100,10122,899,139780,140010,230,1,0
101,10122,899,148560,148750,190,2,0
102,10122,900,2990,3300,310,1,0
103,10122,902,3180,3260,80,1,0
104,10122,915,164170,164280,110,3,0
105,10122,915,172220,172620,400,1,50
106,10122,916,3990,4180,190,2,0
107,10122,925,144320,144400,80,1,0
108,10122,935,214620,215400,780,2,0
109,10122,947,145260,145980,720,1,0
110,10122,965,153440,154500,1060,2,0
111,10122,966,4950,5050,100,1,0
112,10122,972,1240,1830,590,1,0
113,10122,984,6170,6400,230,1,0
114,10122,989,156110,156340,230,2,0
115,10122,989,157380,157500,120,1,0
116,10122,998,1900,2460,560,1,0
117,10122,1000,3170,3920,750,2,0
118,10122,1011,146650,147380,730,4,0
119,10122,1020,179380,179970,590,1,0
120,10122,1034,174280,174370,90,1,0
121,10122,1040,183280,183880,600,1,20
122,10122,1046,17740,17860,120,1,0
123,10122,1049,4370,4470,100,1,0
124,10122,1067,148120,148220,100,2,0
125,10122,1069,149790,149810,20,1,0
126,10122,1070,2730,3510,780,2,0
127,10122,1071,137860,137950,90,2,0
128,10122,1094,147100,147150,50,1,0
129,10122,1120,183380,183400,20,4,0
130,10122,1136,151620,151710,90,2,0
131,10122,1138,185710,185710,0,0,0
132,10122,1301,271910,272220,310,1,0
133,10122,1301,272780,273740,960,1,0
134,10122,1312,154240,154380,140,1,0
135,10122,1316,6410,7490,1080,2,0
136,10122,1325,253080,254160,1080,4,0
137,10122,1329,168180,168200,20,1,0
138,10122,1343,428230,428570,340,1,0
139,10122,1345,143030,143650,620,2,0
140,10122,1346,4890,4890,0,1,0
141,10122,1354,418530,419290,760,2,0
142,10122,1359,199740,200890,1150,5,0
143,10122,1360,6750,6820,70,1,0
144,10122,1366,2310,2520,210,1,0
145,10122,1373,143940,144400,460,2,0
146,10122,1379,520490,520580,90,3,0
147,10122,1395,160040,160180,140,2,0
148,10122,1396,3410,4570,1160,2,0
149,10122,1403,7170,7840,670,1,0
150,10122,1439,157190,157500,310,1,0
151,10122,1461,3240,4010,770,2,0
152,10139,832,81190,81750,560,1,0
153,10139,5020,65420,66010,590,1,0
154,10150,403,32330,32390,60,1,0
155,10150,769,198180,198430,250,1,0
156,10150,769,216720,217440,720,3,0
157,10150,781,191470,191690,220,1,0
158,10150,2300,21760,21980,220,2,0
159,10150,3145,5760,6460,700,1,0
160,10150,4067,51630,51900,270,1,0
161,10150,5584,18440,18550,110,1,0
162,10150,5588,31930,32350,420,1,0
163,10150,5677,19880,20550,670,1,0
164,10155,633,67960,69020,1060,1,0
165,10155,1051,44400,44930,530,2,0
