Event,Device,Trip,Starttime,Endtime,Duration
1,501,86,26230,28050,1820
2,501,86,41040,41910,870
3,501,87,20550,26260,5710
4,501,87,48830,49760,930
5,501,561,53280,54860,1580
6,501,775,4110,4960,850
7,502,661,34200,35840,1640
8,502,858,78660,80870,2210
9,551,107,7780,8020,240
10,551,778,43470,44390,920
11,552,27,3270,4460,1190
12,552,340,104880,106430,1550
13,552,360,96440,98030,1590
14,552,374,160610,162470,1860
15,552,380,168070,169660,1590
16,552,382,178820,180230,1410
17,552,567,29850,31180,1330
18,552,816,4540,6770,2230
19,10005,38,28440,29970,1530
20,10005,38,31000,31990,990
21,10005,38,34140,36770,2630
22,10122,922,39860,41480,1620
23,10125,1268,12780,13380,600
24,10129,1102,22900,23010,110
25,10138,1502,5330,5330,0
26,10138,2814,1910,1910,0
27,10141,783,187120,188330,1210
28,10141,903,206770,208210,1440
29,10141,904,210,710,500
30,10141,918,181110,182760,1650
31,10141,919,210,690,480
32,10147,264,12960,13050,90
33,10150,2979,760,780,20
34,10150,4511,273830,274730,900
35,10150,4820,2970,3010,40
36,10150,5564,61320,62700,1380
37,10150,5592,6460,10130,3670
38,10150,5627,5610,7850,2240
39,10155,226,37890,44820,6930
40,10155,226,60430,61320,890
41,10155,321,13740,14740,1000
42,10155,322,970,1990,1020
43,10155,446,14550,18640,4090
44,10155,448,770,5670,4900
45,10155,558,9010,14950,5940
46,10155,777,13760,15010,1250
47,10155,777,21390,22290,900
48,10155,780,16660,18630,1970
49,10155,782,8430,9980,1550
50,10155,783,19200,21720,2520
51,10155,783,28030,28950,920
52,10155,783,30350,31920,1570
53,10155,784,3250,4360,1110
54,10155,1231,25240,27090,1850
55,10155,1231,40810,42070,1260
56,10155,2047,71930,77230,5300
57,10156,231,1450,1450,0
58,10159,13371,10920,13870,2950
59,10160,2499,43170,43380,210
60,10160,2540,490,930,440
61,10160,2643,190,2650,2460
62,10160,2735,190,850,660
63,10160,3004,3390,3710,320
64,10160,3004,5070,5070,0
65,10160,3399,430,690,260
66,10161,865,28940,30060,1120
67,10164,300,61310,63000,1690
68,10164,2171,14420,14970,550
69,10165,51,4240,5730,1490
70,10165,175,18320,19490,1170
71,10165,1208,3890,3960,70
72,10165,1208,5900,5980,80
73,10165,1563,165860,167120,1260
74,10173,1690,41210,42420,1210
75,10176,235,8810,9420,610
76,10176,3923,15790,16460,670
77,10181,1349,18380,24820,6440
78,10190,1926,12440,12750,310
79,10204,166,2610,2610,0
80,10204,1525,261970,263780,1810
81,10204,1530,31530,32860,1330
82,10205,682,220,550,330
83,10205,682,2460,2460,0
84,10205,1140,450,450,0
85,10207,165,1240,1270,30
86,10224,1462,4390,4520,130
87,10502,804,5270,5400,130
88,10502,1117,4360,4790,430
89,10502,1600,13600,26420,12820
90,10502,1600,27470,29770,2300
91,10502,1903,4450,5670,1220
92,10502,1904,26260,27370,1110
93,10502,1988,370,400,30
94,10502,2014,190,610,420
95,10502,2808,1080,1080,0
96,10502,2919,810,820,10
97,10502,3174,370,480,110
98,10502,3257,55030,57120,2090
99,10502,3257,59890,61740,1850
100,10502,3257,78390,79500,1110
101,10515,2386,420,1840,1420
102,10567,939,2580,2730,150
103,10568,2198,4590,5360,770
104,10572,62,16460,17500,1040
105,10572,110,9220,10100,880
106,10572,111,85980,87270,1290
107,10572,181,7790,8800,1010
108,10572,184,7880,8940,1060
109,10574,1365,2900,3470,570
110,10574,2369,6070,6380,310
111,10574,2952,630,1440,810
112,10574,3065,1450,1450,0
113,10574,3190,190,3620,3430
114,10574,3242,190,660,470
115,10574,3339,380,1210,830
116,10580,2477,2080,2150,70
117,10587,2380,47000,48080,1080
118,10591,307,5340,5450,110
119,10593,311,18260,21930,3670
120,10607,1410,56900,58610,1710
121,10607,1410,115340,117430,2090
122,10607,3980,187400,190740,3340
123,10607,5645,215860,217350,1490
124,10612,1472,4140,4140,0
125,10612,3531,61090,64950,3860
126,10612,3532,1020,2390,1370
127,10612,4737,1900,2430,530
128,10612,5217,600,3900,3300
129,10612,5400,460,470,10
130,10612,5636,3930,3930,0
131,10616,335,3160,3420,260
132,10616,2307,254870,255710,840
133,10616,2308,12600,16710,4110
134,10616,2308,169710,172710,3000
135,10616,2308,212220,215130,2910
136,10618,444,11700,13230,1530
137,13000,1153,80890,82760,1870
138,13107,7764,30690,32560,1870
139,13107,7951,114850,116860,2010
140,13107,8007,63570,66060,2490
141,13108,233,9600,11190,1590
142,13108,325,11720,13600,1880
143,13108,482,90040,92390,2350
144,13108,799,10930,12360,1430
145,13108,861,20980,22870,1890
146,13108,1051,12140,13950,1810
147,13108,1123,7380,9200,1820
148,13108,1188,13560,15300,1740
149,13108,1458,12440,14250,1810
150,13109,10226,49640,51980,2340
151,13109,17154,5710,6060,350
