Trip,Starttime,Endtime,vehicle_id,trip_id,event_id,milliseconds,datetime,fix_mode,lat,long,alt,speed,heading,accuracy_horiz,accuracy_vert,accuracy_speed,accuracy_heading,acc,yaw_rate,yaw_rate_dot,range,range_rate,event_marker
3344,32900,34380,54,3344,4,329000,2019-03-13T16:30:50800000076Z,4.0,42.3011416,-83.70606910000001,273.55321,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.3931232380572321,0.19000244,4.05004882,47.25,7.75,False
3344,32900,34380,54,3344,4,329100,2019-03-13T16:30:50900000100Z,4.0,42.3011416,-83.7060732,273.546416,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.4211648505670758,0.25,4.94995117,48.875,6.3125,False
3344,32900,34380,54,3344,4,329200,2019-03-13T16:30:5164Z,4.0,42.3011416,-83.7060774,273.53900333333337,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.3851626390929343,0.19500732,-0.89990234,49.3125,5.25,False
3344,32900,34380,54,3344,4,329300,2019-03-13T16:30:5199999969Z,4.0,42.3011416,-83.706081325,273.5322625,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.4632809998279428,0.22000122,-0.89990234,50.5625,0.0,False
3344,32900,34380,54,3344,4,329400,2019-03-13T16:30:51199999873Z,4.0,42.3011416,-83.70608539999999,273.5260025,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.4656717894637089,0.04499816,0.89990234,51.5,0.0,False
3344,32900,34380,54,3344,4,329500,2019-03-13T16:30:51299999778Z,4.0,42.3011416,-83.70608974,273.518802,3.341,269.8081,0.661,1.216,0.115,0.0003999,0.3530877934807897,-0.05999755,0.44995117,53.4375,0.0,False
3344,32900,34380,54,3344,4,329600,2019-03-13T16:30:51400000018Z,4.0,42.3011414,-83.7060937,273.5240133333333,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4612506734148728,-0.43499755,-4.05004882,53.8125,0.0,False
3344,32900,34380,54,3344,4,329700,2019-03-13T16:30:51500000042Z,4.0,42.3011414,-83.70609759999999,273.5172525,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.3602186099466167,-0.5099945,-6.30004882,53.3125,0.0,False
3344,32900,34380,54,3344,4,329800,2019-03-13T16:30:51600000066Z,4.0,42.3011414,-83.70610152,273.510412,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4304800688772647,-0.3500061,3.14990234,52.8125,0.0,False
3344,32900,34380,54,3344,4,329900,2019-03-13T16:30:51700000090Z,4.0,42.3011414,-83.70610583333332,273.50299333333334,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.5058449216454523,-0.66000366,1.80004882,53.1875,0.0,False
3344,32900,34380,54,3344,4,330000,2019-03-13T16:30:51800000113Z,4.0,42.3011414,-83.70611,273.495804,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4304214986499222,-0.625,-4.5,52.9375,0.0,False
3344,32900,34380,54,3344,4,330100,2019-03-13T16:30:51900000137Z,4.0,42.3011414,-83.7061141,273.488808,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4118928067476786,-0.5,-2.25,52.0625,-6.6875,False
3344,32900,34380,54,3344,4,330200,2019-03-13T16:30:51950000149Z,4.0,42.3011414,-83.7061173,273.483,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.485058591358269,-0.63000488,0.44995117,51.5625,-7.1875,False
3344,32900,34380,54,3344,4,330300,2019-03-13T16:30:52100000006Z,4.0,42.3011414,-83.7061222,273.474814,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.450112362027791,-0.72999572,-2.69995117,51.3125,-5.9375,False
3344,32900,34380,54,3344,4,330400,2019-03-13T16:30:52199999911Z,4.0,42.3011414,-83.70612584999999,273.46802,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4407182298539684,-0.58500671,5.85009765,51.6875,0.0,False
3344,32900,34380,54,3344,4,330500,2019-03-13T16:30:52299999815Z,4.0,42.30114136,-83.7061303,273.4604,3.339,269.79632,0.663,1.225,0.115,0.0003999,0.4978062475052543,-0.52000427,-1.35009765,50.5625,0.0,False
3344,32900,34380,54,3344,4,330600,2019-03-13T16:30:52399999995Z,4.0,42.301141,-83.70613376666667,273.4906666666667,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.4066179325271286,-0.49000549,4.5,50.3125,0.0,False
3344,32900,34380,54,3344,4,330700,2019-03-13T16:30:52500000019Z,4.0,42.301141,-83.7061377,273.4842625,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.4449376420677658,-0.15499877,-1.35009765,49.875,0.0,False
3344,32900,34380,54,3344,4,330800,2019-03-13T16:30:52600000043Z,4.0,42.301141,-83.70614152,273.478402,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.2936929257817045,0.02499389,2.69995117,49.625,0.0,False
3344,32900,34380,54,3344,4,330900,2019-03-13T16:30:52700000067Z,4.0,42.301141,-83.70614583333332,273.47201333333334,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.5533669603673675,0.13000488,2.69995117,49.375,0.0,False
3344,32900,34380,54,3344,4,331000,2019-03-13T16:30:52800000091Z,4.0,42.301141,-83.70615004,273.46581,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3550213853125996,0.13000488,-2.25,49.125,0.0,False
3344,32900,34380,54,3344,4,331100,2019-03-13T16:30:52900000115Z,4.0,42.301141,-83.70615377499999,273.4602425,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3940025997764625,0.125,0.44995117,48.625,0.0,False
3344,32900,34380,54,3344,4,331200,2019-03-13T16:30:53138Z,4.0,42.301141,-83.7061577,273.45341,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3968822491332769,0.16999816,-3.14990234,37.5625,-5.9375,False
3344,32900,34380,54,3344,4,331300,2019-03-13T16:30:53100000043Z,4.0,42.301141,-83.706161725,273.4472425,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.3922773983499106,0.36000061,-0.44995117,37.5,0.0,False
3344,32900,34380,54,3344,4,331400,2019-03-13T16:30:53199999948Z,4.0,42.301141,-83.70616614,273.440814,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.5016228173174188,0.02499389,-2.69995117,37.25,0.0,False
3344,32900,34380,54,3344,4,331500,2019-03-13T16:30:53299999852Z,4.0,42.301141,-83.7061702,273.434804,3.32,269.80114,0.664,1.233,0.113,0.0003799,0.4924943120492581,-0.00500488,-0.44995117,37.4375,0.0,False
3344,32900,34380,54,3344,4,331600,2019-03-13T16:30:53400000003Z,4.0,42.301141,-83.70617376666667,273.39066,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4775787011082977,-0.11500549,-0.44995117,38.5625,0.0,False
3344,32900,34380,54,3344,4,331700,2019-03-13T16:30:53499999997Z,4.0,42.301141,-83.706177525,273.3827475,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4226855030054257,-0.47000122,-0.89990234,40.5,0.0,False
3344,32900,34380,54,3344,4,331800,2019-03-13T16:30:53600000020Z,4.0,42.301141,-83.70618148,273.3742,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3914118204029475,-0.44000244,0.44995117,41.1875,0.0,False
3344,32900,34380,54,3344,4,331900,2019-03-13T16:30:53700000044Z,4.0,42.301141,-83.70618532,273.365998,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.4610181174610613,-0.36000061,3.14990234,42.125,0.0,False
3344,32900,34380,54,3344,4,332000,2019-03-13T16:30:53800000068Z,4.0,42.301141,-83.70618976,273.3564,3.298,270.11999,0.665,1.247,0.123,0.0004099,0.3426439808377426,-0.40499877,0.89990234,42.3125,0.0,False
